Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
A,148.52999877929688,N/A,0.25605613531254034,0.5794183445190156,0.18555960090717752,0.6711409395973155,0.3322801808161225,0.9082774049217002,0.1298493168540896,0.8210290827740492,0.7449664429530201
AAL,14.829999923706055,N/A,0.12604402716748012,0.32885906040268453,0.06844378972855666,0.29977628635346754,0.20471156930860784,0.7472035794183445,0.01001332597556811,0.07829977628635347,0.3635346756152125
AAP,56.54999923706055,N/A,0.01487961372770591,0.040268456375838924,0.030406690764389222,0.12751677852348992,0.20432945442267794,0.7449664429530201,0.06376974039463747,0.5615212527964206,0.3685682326621924
AAPL,305.92999267578125,N/A,0.32587804893694283,0.6644295302013422,0.1982013677574953,0.7046979865771812,0.019864163443363114,0.10961968680089486,0.0825377190715328,0.6532438478747202,0.5329977628635346
ABBV,249.4600067138672,N/A,0.24437062834866893,0.5570469798657718,0.09425450841041176,0.40268456375838924,0.19414242004646814,0.7337807606263982,0.01976501501325948,0.17225950782997765,0.4664429530201342
ABT,111.25,N/A,0.13608041611014368,0.36465324384787473,0.0005891647214258198,0.0044742729306487695,0.326429093502419,0.9060402684563758,0.10498609120763812,0.7449664429530201,0.5050335570469798
ACN,176.88999938964844,N/A,0.2691182547199134,0.5950782997762863,0.194866455972472,0.6957494407158836,0.06040136896646508,0.2930648769574944,0.23208184415693733,0.9552572706935123,0.6347874720357942
ADBE,264.0199890136719,N/A,0.25596735388908837,0.5771812080536912,0.00018936921899301588,0.0022371364653243847,0.06631656908478205,0.32885906040268453,0.11283451639060854,0.7829977628635346,0.42281879194630867
ADI,389.3900146484375,N/A,0.703652639723667,0.9328859060402683,0.1619079811618304,0.6241610738255033,0.06475223124512064,0.32438478747203575,0.03737753048912356,0.3668903803131991,0.5620805369127516
ADM,80.44999694824219,N/A,0.38885664534773334,0.7539149888143176,0.17379922521789842,0.6532438478747202,0.007219105556088337,0.03803131991051454,0.06344591945082571,0.5525727069351231,0.49944071588366884
ADP,272.9599914550781,N/A,0.07039495222762784,0.19910514541387023,0.307356351777819,0.8612975391498882,0.2823150090954896,0.8836689038031319,0.06929912205327456,0.5861297539149888,0.6325503355704698
ADSK,251.66000366210938,N/A,0.12231020814173149,0.319910514541387,0.088400667474679,0.3870246085011185,0.06356186651712684,0.31543624161073824,0.15255322476520614,0.8791946308724832,0.47539149888143173
AEE,109.73999786376953,N/A,0.12238265181750906,0.3221476510067114,0.0026515770955154684,0.006711409395973153,0.03905169881123919,0.19463087248322147,0.01622595372900583,0.1342281879194631,0.16442953020134227
AEP,125.5999984741211,N/A,0.1563209414734249,0.41387024608501116,0.018967652463765732,0.06935123042505592,0.011236436112495076,0.05592841163310962,0.04225630296051204,0.40268456375838924,0.23545861297539147
